variables,type,units,values,description
landbosse.weather_window,input,n/a,"                      Date UTC  Temp C  Pressure atm  ...  Hour  Time window  Season
0    2012-01-01 12:00:00+00:00   2.444      0.952053  ...     5         long  winter
1    2012-01-01 13:00:00+00:00   1.655      0.952275  ...     6         long  winter
2    2012-01-01 14:00:00+00:00   2.512      0.952485  ...     7         long  winter
3    2012-01-01 15:00:00+00:00   2.589      0.953325  ...     8       normal  winter
4    2012-01-01 16:00:00+00:00   1.534      0.954406  ...     9       normal  winter
...                        ...     ...           ...  ...   ...          ...     ...
8779 2013-01-01 07:00:00+00:00  -8.496      0.970703  ...     0         long  winter
8780 2013-01-01 08:00:00+00:00  -8.584      0.970879  ...     1         long  winter
8781 2013-01-01 09:00:00+00:00  -9.121      0.970915  ...     2         long  winter
8782 2013-01-01 10:00:00+00:00  -9.941      0.970998  ...     3         long  winter
8783 2013-01-01 11:00:00+00:00 -10.568      0.971338  ...     4         long  winter

[8784 rows x 11 columns]",Dataframe of wind toolkit data
landbosse.crew,input,n/a,"   Crew type ID   Operation  ...         Labor type ID Number of workers
0            M0  Management  ...       Project manager                 1
1            M0  Management  ...          Site manager                 1
2            M0  Management  ...  Construction manager                 1
3            M0  Management  ...      Project engineer                 1
4            M0  Management  ...  Safety or qc manager                 1
..          ...         ...  ...                   ...               ...
74           C4        Base  ...        Rigger foreman                 1
75           C0        Base  ...        Crane operator                 2
76           C0        Base  ...                 Oiler                 2
77           C0        Base  ...           Iron worker                 3
78           C0        Base  ...        Rigger foreman                 1

[79 rows x 5 columns]",Dataframe of crew configurations
landbosse.crew_price,input,n/a,"           Labor type ID  ...                                   Notes/References
0         Crane operator  ...  2017 National Construction Estimator:  Page 30...
1                  Oiler  ...  (35% burden) https://www.ziprecruiter.com/Sala...
2                 Rigger  ...  2017 National Construction Estimator:  Page 30...
3           Truck driver  ...  2017 National Construction Estimator:  Page 30...
4            Iron worker  ...  2017 National Construction Estimator:  Page 30...
5        Project manager  ...  (50% burden) https://www.salary.com/tools/sala...
6           Site manager  ...  (50% burden) https://www.salary.com/tools/sala...
7   Construction manager  ...  (50% burden) https://www.salary.com/tools/sala...
8       Project engineer  ...  (50% burden) https://www.salary.com/tools/sala...
9   Safety or qc manager  ...  (70% burden) https://www.salary.com/tools/sala...
10     Logistics manager  ...  (50 % burden) https://www.salary.com/research/...
11        Rigger foreman  ...  2017 National Construction Estimator:  Page 30...
12                Rigger  ...  2017 National Construction Estimator:  Page 30...
13              Operator  ...  2017 National Construction Estimator:  Page 30...
14                 Oiler  ...  (35% burden) https://www.ziprecruiter.com/Sala...
15           Electrician  ...  2017 National Construction Estimator:  Page 30...
16             Tool room  ...  2017 National Construction Estimator:  Page 30...
17            QC/QA tech  ...  (50% burden for QC/QC Manager) https://www.zip...
18          Office admin  ...  (35% burden) https://www.salary.com/tools/sala...
19               RSMeans  ...                                                NaN

[20 rows x 4 columns]",Dataframe of costs per hour for each type of worker.
landbosse.equip,input,n/a,"   Equipment ID Operation  ... Crane capacity tonne  Number of equipment
0            E1      Base  ...                  500                    1
1            E1      Base  ...                   50                    1
2            E1       Top  ...                  500                    1
3            E1       Top  ...                   50                    2
4            E2       Top  ...                  600                    1
5            E2       Top  ...                   50                    2
6            E2       Top  ...                  100                    2
7            E3       Top  ...                  750                    1
8            E3       Top  ...                  100                    2
9            E4       Top  ...                 1000                    1
10           E4       Top  ...                  100                    2
11          ST1       Top  ...                  200                    1
12          ST1       Top  ...                  100                    2
13          OL1   Offload  ...                   75                    2
14          OL2   Offload  ...                  200                    2
15           B1      Base  ...                  275                    1
16           B1      Base  ...                   50                    1
17           E2      Base  ...                  600                    1
18           E2      Base  ...                   50                    2
19           E2      Base  ...                  100                    2
20           E3      Base  ...                  750                    1
21           E3      Base  ...                  100                    2
22           E4      Base  ...                 1000                    1
23           E4      Base  ...                  100                    2
24          ST1      Base  ...                  200                    1
25          ST1      Base  ...                  100                    2
26          OL2      Base  ...                  200                    2

[27 rows x 5 columns]",Collections of equipment to perform erection operations.
landbosse.equip_price,input,n/a,"   Equipment name  ...  Fuel consumption gal per day
0    Mobile crane  ...                          44.0
1    Mobile crane  ...                          64.0
2   Crawler crane  ...                          76.0
3   Crawler crane  ...                          72.0
4   Crawler crane  ...                          97.0
5   Crawler crane  ...                         113.0
6   Crawler crane  ...                         130.0
7   Crawler crane  ...                         154.0
8   Crawler crane  ...                         195.0
9   Crawler crane  ...                         252.0
10    Truck crane  ...                           NaN
11             RT  ...                           NaN
12  Offload crane  ...                          44.0
13  Offload crane  ...                          64.0

[14 rows x 5 columns]",Prices for various type of equipment.
landbosse.rsmeans,input,n/a,"                                    Operation ID  ...                                             Source
0                             Concrete placement  ...  Source 2017 National Construction Estimator:  ...
1                             Rebar installation  ...  Source: 2017 National Construction Estimator: ...
2                                         Survey  ...                                                NaN
3                                 Clear and grub  ...                                                NaN
4              Topsoil stripping and stockpiling  ...   2017 National Construction Estimator:  Page 599 
5                Stormwater pollution prevention  ...                                                NaN
6                                       Culverts  ...                                                NaN
7   Compaction of soil (subgrade and crane path)  ...  http://www.get-a-quote.net/QuoteEngine/costboo...
8          Mass material movement (cut and fill)  ...                                                NaN
9                    Placing road base (hauling)  ...                                                NaN
10                       Rough grading road base  ...  http://www.get-a-quote.net/QuoteEngine/costboo...
11                          Compacting road base  ...  http://www.get-a-quote.net/QuoteEngine/costboo...
12                                 Final grading  ...                                                NaN
13                              Road maintanance  ...                                                NaN
14                   Decompaction of crane paths  ...                                                NaN
15                      Reseeding, planting, etc  ...                                                NaN
16                            Concrete placement  ...  Source: 2017 National Construction Estimator: ...
17                            Rebar installation  ...  Source: 2017 National Construction Estimator: ...
18                                        Survey  ...                                                NaN
19                                Clear and grub  ...                                                NaN
20             Topsoil stripping and stockpiling  ...   2017 National Construction Estimator:  Page 599 
21               Stormwater pollution prevention  ...                                                NaN
22                                      Culverts  ...                                                NaN
23  Compaction of soil (subgrade and crane path)  ...  http://www.get-a-quote.net/QuoteEngine/costboo...
24         Mass material movement (cut and fill)  ...                                                NaN
25                   Placing road base (hauling)  ...  http://www.get-a-quote.net/QuoteEngine/costboo...
26                       Rough grading road base  ...  http://www.get-a-quote.net/QuoteEngine/costboo...
27                          Compacting road base  ...  http://www.get-a-quote.net/QuoteEngine/costboo...
28                                 Final grading  ...                                                NaN
29                              Road maintanance  ...                                                NaN
30                   Decompaction of crane paths  ...                                                NaN
31                      Reseeding, planting, etc  ...                                                NaN
32                                    Excavation  ...  Source: 2017 National Construction Estimator: ...
33                                    Excavation  ...  Source: 2017 National Construction Estimator: ...
34                                      Backfill  ...  Source: 2017 National Construction Estimator: ...
35                                      Backfill  ...  Source: 2017 National Construction Estimator: ...
36                                    Collection  ...  Source: 2017 National Construction Estimator: ...
37                                    Collection  ...  Source: 2017 National Construction Estimator: ...
38                                    Collection  ...  Source: 2017 National Construction Estimator: ...
39                                    Collection  ...  Source: 2017 National Construction Estimator: ...
40                                    Collection  ...  Source: 2017 National Construction Estimator: ...
41                                    Collection  ...  Source: 2017 National Construction Estimator: ...

[42 rows x 12 columns]",RSMeans price data
landbosse.cable_specs,input,n/a,"  Array Cable  ...                                              Notes
0     AWG 1/0  ...  2017 National Construction Estimator:  Page 55...
1     AWG 4/0  ...  2017 National Construction Estimator:  Page 55...
2     MCM 500  ...  2017 National Construction Estimator:  Page 55...
3     MCM1000  ...  (curve fitted) 2017 National Construction Esti...
4     MCM1250  ...  (curve fitted) 2017 National Construction Esti...

[5 rows x 9 columns]",cable specs for collection system
landbosse.material_price,input,n/a,"                      Material type ID  ...                                              Notes
0  unique identifier for the material   ...                                                NaN
1                    Concrete 3000 psi  ...                    http://gsiconcrete.com/pricing/
2                    Concrete 5000 psi  ...                    http://gsiconcrete.com/pricing/
3                    Concrete 8000 psi  ...          Curve fit http://gsiconcrete.com/pricing/
4                        Steel - rebar  ...  https://www.steelsupplylp.com/sku/102775?gclid...
5   Road base - 3/4 inch crushed stone  ...     https://homeguide.com/costs/gravel-prices#yard
6                       Excavated dirt  ...                                                NaN
7                             Backfill  ...                                                NaN

[8 rows x 4 columns]",Prices of materials for foundations and roads
landbosse.project_data,input,n/a,"{'components':   Component  Mass tonne  ...  Multiplier tower drag  Operation
0   Nacelle  178.691436  ...                      0        Top
1       Hub   36.143740  ...                      0        Top
2   Blade 1   50.075304  ...                      0        Top
2   Blade 2   50.075304  ...                      0        Top
2   Blade 3   50.075304  ...                      0        Top
5   Tower 1   79.144596  ...                      1       Base
5   Tower 2   79.144596  ...                      1       Base
5   Tower 3   79.144596  ...                      1       Base
5   Tower 4   79.144596  ...                      1       Base
5   Tower 5   79.144596  ...                      1       Base
5   Tower 6   79.144596  ...                      1       Base
5   Tower 7   79.144596  ...                      1       Base
5   Tower 8   79.144596  ...                      1       Base
5   Tower 9   79.144596  ...                      1        Top
5  Tower 10   79.144596  ...                      1        Top

[15 rows x 14 columns], 'cable_specs':   Array Cable  ...                                              Notes
0     AWG 1/0  ...  2017 National Construction Estimator:  Page 55...
1     AWG 4/0  ...  2017 National Construction Estimator:  Page 55...
2     MCM 500  ...  2017 National Construction Estimator:  Page 55...
3     MCM1000  ...  (curve fitted) 2017 National Construction Esti...
4     MCM1250  ...  (curve fitted) 2017 National Construction Esti...

[5 rows x 9 columns], 'equip':    Equipment ID Operation  ... Crane capacity tonne  Number of equipment
0            E1      Base  ...                  500                    1
1            E1      Base  ...                   50                    1
2            E1       Top  ...                  500                    1
3            E1       Top  ...                   50                    2
4            E2       Top  ...                  600                    1
5            E2       Top  ...                   50                    2
6            E2       Top  ...                  100                    2
7            E3       Top  ...                  750                    1
8            E3       Top  ...                  100                    2
9            E4       Top  ...                 1000                    1
10           E4       Top  ...                  100                    2
11          ST1       Top  ...                  200                    1
12          ST1       Top  ...                  100                    2
13          OL1   Offload  ...                   75                    2
14          OL2   Offload  ...                  200                    2
15           B1      Base  ...                  275                    1
16           B1      Base  ...                   50                    1
17           E2      Base  ...                  600                    1
18           E2      Base  ...                   50                    2
19           E2      Base  ...                  100                    2
20           E3      Base  ...                  750                    1
21           E3      Base  ...                  100                    2
22           E4      Base  ...                 1000                    1
23           E4      Base  ...                  100                    2
24          ST1      Base  ...                  200                    1
25          ST1      Base  ...                  100                    2
26          OL2      Base  ...                  200                    2

[27 rows x 5 columns], 'crane_specs':    Equipment name    Crane name  ... Hook Height m  Mobilization cost USD
0   Offload crane         LB 75  ...          12.5                   8040
1   Offload crane   Big LB 2580  ...          48.0                 406100
2   Offload crane        LB 258  ...          48.0                  40610
3   Crawler crane          M999  ...          57.0                  68709
4   Crawler crane        LR1500  ...          94.0                 184398
5   Crawler crane        LR1500  ...         100.0                 184398
6   Crawler crane        LR1500  ...         106.0                 184398
7   Crawler crane        LR1500  ...         112.0                 184398
8   Crawler crane        LR1500  ...          94.0                 184398
9   Crawler crane        LR1500  ...         100.0                 184398
10  Crawler crane        LR1500  ...         112.0                 184398
11  Crawler crane        LR1500  ...         130.0                 184398
12  Crawler crane        LR1500  ...         142.0                 184398
13  Crawler crane      LR1600/2  ...          93.0                 249177
14  Crawler crane      LR1600/2  ...         114.0                 249177
15  Crawler crane      LR1600/2  ...         117.0                 249177
16  Crawler crane      LR1600/2  ...         135.0                 249177
17  Crawler crane      LR1600/2  ...         147.0                 249177
18  Crawler crane      LR1600/2  ...         152.0                 249177
19  Crawler crane      LR1600/2  ...         164.0                 249177
20  Crawler crane      LR1750/2  ...         101.0                 360193
21  Crawler crane      LR1500/2  ...         109.0                 360193
22  Crawler crane      LR1750/2  ...         136.0                 360193
23  Crawler crane      LR1750/2  ...         147.0                 360193
24  Crawler crane      LR1500/2  ...         152.0                 360193
25  Crawler crane      LR1750/2  ...         154.0                 360193
26  Crawler crane      LR1750/2  ...         165.0                 360193
27  Crawler crane       LR11000  ...         114.0                 579224
28  Crawler crane       LR11000  ...         120.0                1000000
29  Crawler crane       LR11000  ...         132.0                1000000
30  Crawler crane       LR11000  ...         136.0                1000000
31  Crawler crane       LR11000  ...         147.0                1000000
32  Crawler crane       LR11000  ...         152.0                1000000
33  Crawler crane       LR11000  ...         174.0                1000000
34  Crawler crane       LR11000  ...         192.0                1000000
35  Crawler crane       LR11000  ...         198.0                1000000
36  Crawler crane       LR11000  ...         147.0                1000000
37  Crawler crane       LR11000  ...         174.0                1000000
38  Crawler crane  Big LR110000  ...         300.0                1400000

[39 rows x 16 columns], 'development':        Type of cost  Cost USD Phase of construction
0  Equipment rental         0           Development
1             Labor   1000000           Development
2         Materials         0           Development
3      Mobilization         0           Development
4             Other         0           Development, 'crew_price':            Labor type ID  ...                                   Notes/References
0         Crane operator  ...  2017 National Construction Estimator:  Page 30...
1                  Oiler  ...  (35% burden) https://www.ziprecruiter.com/Sala...
2                 Rigger  ...  2017 National Construction Estimator:  Page 30...
3           Truck driver  ...  2017 National Construction Estimator:  Page 30...
4            Iron worker  ...  2017 National Construction Estimator:  Page 30...
5        Project manager  ...  (50% burden) https://www.salary.com/tools/sala...
6           Site manager  ...  (50% burden) https://www.salary.com/tools/sala...
7   Construction manager  ...  (50% burden) https://www.salary.com/tools/sala...
8       Project engineer  ...  (50% burden) https://www.salary.com/tools/sala...
9   Safety or qc manager  ...  (70% burden) https://www.salary.com/tools/sala...
10     Logistics manager  ...  (50 % burden) https://www.salary.com/research/...
11        Rigger foreman  ...  2017 National Construction Estimator:  Page 30...
12                Rigger  ...  2017 National Construction Estimator:  Page 30...
13              Operator  ...  2017 National Construction Estimator:  Page 30...
14                 Oiler  ...  (35% burden) https://www.ziprecruiter.com/Sala...
15           Electrician  ...  2017 National Construction Estimator:  Page 30...
16             Tool room  ...  2017 National Construction Estimator:  Page 30...
17            QC/QA tech  ...  (50% burden for QC/QC Manager) https://www.zip...
18          Office admin  ...  (35% burden) https://www.salary.com/tools/sala...
19               RSMeans  ...                                                NaN

[20 rows x 4 columns], 'crew':    Crew type ID   Operation  ...         Labor type ID Number of workers
0            M0  Management  ...       Project manager                 1
1            M0  Management  ...          Site manager                 1
2            M0  Management  ...  Construction manager                 1
3            M0  Management  ...      Project engineer                 1
4            M0  Management  ...  Safety or qc manager                 1
..          ...         ...  ...                   ...               ...
74           C4        Base  ...        Rigger foreman                 1
75           C0        Base  ...        Crane operator                 2
76           C0        Base  ...                 Oiler                 2
77           C0        Base  ...           Iron worker                 3
78           C0        Base  ...        Rigger foreman                 1

[79 rows x 5 columns], 'equip_price':    Equipment name  ...  Fuel consumption gal per day
0    Mobile crane  ...                          44.0
1    Mobile crane  ...                          64.0
2   Crawler crane  ...                          76.0
3   Crawler crane  ...                          72.0
4   Crawler crane  ...                          97.0
5   Crawler crane  ...                         113.0
6   Crawler crane  ...                         130.0
7   Crawler crane  ...                         154.0
8   Crawler crane  ...                         195.0
9   Crawler crane  ...                         252.0
10    Truck crane  ...                           NaN
11             RT  ...                           NaN
12  Offload crane  ...                          44.0
13  Offload crane  ...                          64.0

[14 rows x 5 columns], 'material_price':                       Material type ID  ...                                              Notes
0  unique identifier for the material   ...                                                NaN
1                    Concrete 3000 psi  ...                    http://gsiconcrete.com/pricing/
2                    Concrete 5000 psi  ...                    http://gsiconcrete.com/pricing/
3                    Concrete 8000 psi  ...          Curve fit http://gsiconcrete.com/pricing/
4                        Steel - rebar  ...  https://www.steelsupplylp.com/sku/102775?gclid...
5   Road base - 3/4 inch crushed stone  ...     https://homeguide.com/costs/gravel-prices#yard
6                       Excavated dirt  ...                                                NaN
7                             Backfill  ...                                                NaN

[8 rows x 4 columns], 'rsmeans':                                     Operation ID  ...                                             Source
0                             Concrete placement  ...  Source 2017 National Construction Estimator:  ...
1                             Rebar installation  ...  Source: 2017 National Construction Estimator: ...
2                                         Survey  ...                                                NaN
3                                 Clear and grub  ...                                                NaN
4              Topsoil stripping and stockpiling  ...   2017 National Construction Estimator:  Page 599 
5                Stormwater pollution prevention  ...                                                NaN
6                                       Culverts  ...                                                NaN
7   Compaction of soil (subgrade and crane path)  ...  http://www.get-a-quote.net/QuoteEngine/costboo...
8          Mass material movement (cut and fill)  ...                                                NaN
9                    Placing road base (hauling)  ...                                                NaN
10                       Rough grading road base  ...  http://www.get-a-quote.net/QuoteEngine/costboo...
11                          Compacting road base  ...  http://www.get-a-quote.net/QuoteEngine/costboo...
12                                 Final grading  ...                                                NaN
13                              Road maintanance  ...                                                NaN
14                   Decompaction of crane paths  ...                                                NaN
15                      Reseeding, planting, etc  ...                                                NaN
16                            Concrete placement  ...  Source: 2017 National Construction Estimator: ...
17                            Rebar installation  ...  Source: 2017 National Construction Estimator: ...
18                                        Survey  ...                                                NaN
19                                Clear and grub  ...                                                NaN
20             Topsoil stripping and stockpiling  ...   2017 National Construction Estimator:  Page 599 
21               Stormwater pollution prevention  ...                                                NaN
22                                      Culverts  ...                                                NaN
23  Compaction of soil (subgrade and crane path)  ...  http://www.get-a-quote.net/QuoteEngine/costboo...
24         Mass material movement (cut and fill)  ...                                                NaN
25                   Placing road base (hauling)  ...  http://www.get-a-quote.net/QuoteEngine/costboo...
26                       Rough grading road base  ...  http://www.get-a-quote.net/QuoteEngine/costboo...
27                          Compacting road base  ...  http://www.get-a-quote.net/QuoteEngine/costboo...
28                                 Final grading  ...                                                NaN
29                              Road maintanance  ...                                                NaN
30                   Decompaction of crane paths  ...                                                NaN
31                      Reseeding, planting, etc  ...                                                NaN
32                                    Excavation  ...  Source: 2017 National Construction Estimator: ...
33                                    Excavation  ...  Source: 2017 National Construction Estimator: ...
34                                      Backfill  ...  Source: 2017 National Construction Estimator: ...
35                                      Backfill  ...  Source: 2017 National Construction Estimator: ...
36                                    Collection  ...  Source: 2017 National Construction Estimator: ...
37                                    Collection  ...  Source: 2017 National Construction Estimator: ...
38                                    Collection  ...  Source: 2017 National Construction Estimator: ...
39                                    Collection  ...  Source: 2017 National Construction Estimator: ...
40                                    Collection  ...  Source: 2017 National Construction Estimator: ...
41                                    Collection  ...  Source: 2017 National Construction Estimator: ...

[42 rows x 12 columns], 'site_facility_building_area':    Size Min (MW)  Size Max (MW)  Building area (sq. ft.)
0              0            200                     3000
1            200            500                     5000
2            500            800                     7000
3            800           1000                     9000
4           1000           5000                    12000, 'weather_window':               Unnamed: 0                                     71444  ...   1 8760
0                    NaT  WTK data from NREL downloaded  2018-1-25  ... NaN  NaN
1                    NaT                               Temperature  ... NaN  NaN
2                    NaT                                         C  ... NaN  NaN
3                    NaT                                       100  ... NaN  NaN
4    2012-01-01 12:00:00                                     2.444  ... NaN  NaN
...                  ...                                       ...  ...  ..  ...
8783 2013-01-01 07:00:00                                    -8.496  ... NaN  NaN
8784 2013-01-01 08:00:00                                    -8.584  ... NaN  NaN
8785 2013-01-01 09:00:00                                    -9.121  ... NaN  NaN
8786 2013-01-01 10:00:00                                    -9.941  ... NaN  NaN
8787 2013-01-01 11:00:00                                   -10.568  ... NaN  NaN

[8788 rows x 11 columns]}",Dictionary of all dataframes of data
outputs_2_screen.My_std,input,N*m,[0.],
outputs_2_screen.flp1_std,input,deg,[0.],
outputs_2_screen.PC_omega,input,rad/s,[0.],
outputs_2_screen.PC_zeta,input,,[0.],
outputs_2_screen.VS_omega,input,rad/s,[0.],
outputs_2_screen.VS_zeta,input,,[0.],
outputs_2_screen.Flp_omega,input,rad/s,[0.],
outputs_2_screen.Flp_zeta,input,,[0.],
tcc.bearing_mass_cost_coeff,input,USD/kg,[4.5],
tcc.bedplate_mass_cost_coeff,input,USD/kg,[2.9],
tcc.blade_mass_cost_coeff,input,USD/kg,[14.6],
tcc.brake_mass_cost_coeff,input,USD/kg,[3.6254],
tcc.machine_rating,input,kW,[5000.],
tcc.controls_machine_rating_cost_coeff,input,USD/kW,[21.15],
tcc.converter_mass_cost_coeff,input,USD/kg,[18.8],
tcc.cover_mass_cost_coeff,input,USD/kg,[5.7],
tcc.elec_connec_machine_rating_cost_coeff,input,USD/kW,[41.85],
tcc.gearbox_torque_density,input,N*m/kg,[200.],"In 2024, modern 5-7MW gearboxes are able to reach 200 Nm/kg"
tcc.gearbox_torque_cost,input,USD/kN/m,[50.],"In 2024, modern 5-7MW gearboxes cost approx $50/kNm"
tcc.generator_mass_cost_coeff,input,USD/kg,[12.4],
tcc.generator_cost_external,input,USD,[0.],
tcc.hss_mass_cost_coeff,input,USD/kg,[6.8],
tcc.hub_assemblyCostMultiplier,input,,[0.],
tcc.hub_overheadCostMultiplier,input,,[0.],
tcc.hub_profitMultiplier,input,,[0.],
tcc.hub_transportMultiplier,input,,[0.],
tcc.hub_mass_cost_coeff,input,USD/kg,[3.9],
tcc.hvac_mass_cost_coeff,input,USD/kg,[124.],
tcc.lss_mass_cost_coeff,input,USD/kg,[11.9],
