variables,type,units,values,description
tcc.nacelle_overheadCostMultiplier,input,,0.0,
tcc.nacelle_profitMultiplier,input,,0.0,
tcc.nacelle_transportMultiplier,input,,0.0,
tcc.main_bearing_number,input,n/a,2,
tcc.pitch_system_mass_cost_coeff,input,USD/kg,22.1,
tcc.platforms_mass_cost_coeff,input,USD/kg,17.1,
tcc.crane_cost,input,USD,12000.0,
tcc.crane,input,n/a,False,
tcc.blade_number,input,n/a,3,
tcc.spinner_mass_cost_coeff,input,USD/kg,11.1,
tcc.tower_assemblyCostMultiplier,input,,0.0,
tcc.tower_overheadCostMultiplier,input,,0.0,
tcc.tower_profitMultiplier,input,,0.0,
tcc.tower_transportMultiplier,input,,0.0,
tcc.tower_mass_cost_coeff,input,USD/kg,2.9,
tcc.transformer_mass_cost_coeff,input,USD/kg,18.8,
tcc.turbine_assemblyCostMultiplier,input,,0.0,
tcc.turbine_overheadCostMultiplier,input,,0.0,
tcc.turbine_profitMultiplier,input,,0.0,
tcc.turbine_transportMultiplier,input,,0.0,
tcc.yaw_mass_cost_coeff,input,USD/kg,8.3,
tcons.blade_number,input,n/a,3,
tcons.precone,input,deg,4.0,
tcons.tilt,input,deg,6.0,
tcons.overhang,input,m,12.0313,
tcons.outer_diameter_full,input,m,"[10.0, 10.0, 9.926, 9.443, 8.833, 8.151, 7.39, 6.909, 6.748, 6.572, 6.5]",
tcons.max_allowable_td_ratio,input,,1.4175,
tcons.rotor_orientation,input,n/a,upwind,
towerse.env.distLoads.waveLoads_Px,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.env.distLoads.waveLoads_Py,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.env.distLoads.waveLoads_Pz,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.env.distLoads.waveLoads_qdyn,input,N/m**2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.env.distLoads.waveLoads_z,input,m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.env.distLoads.waveLoads_beta,input,deg,0.0,
towerse.yaw,input,deg,0.0,
towerse.z0,input,m,0.0,
towerse.shearExp,input,,0.12,
towerse.beta_wind,input,deg,0.0,
towerse.rho_air,input,kg/m**3,1.225,
towerse.mu_air,input,kg/m/s,1.81e-05,
towerse.cd_usr,input,,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",
towerse.s_all,input,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
