variables,type,units,values,description
towerse.tower.tower_Myy,output,N*m,"[[97913806.02257442 70191372.50888553]
 [78185487.65802771 55870357.34363329]
 [58245379.91674052 41384206.24031743]
 [38145412.98059477 26782966.91670732]
 [17938650.49692315 12119212.35812531]
 [-2274931.50226486 -2522330.20559959]]",
towerse.tower.tower_Mzz,output,N*m,"[[-346832.06676985  147325.92244633]
 [-346829.99694222  147325.01454011]
 [-346827.97443409  147323.85565154]
 [-346834.58628055  147326.57159686]
 [-346833.40382261  147325.41116305]
 [-346832.45455505  147324.22347456]]",
towerse.tower.turbine_F,output,N,"[[ 1.28474420e+06  9.30198601e+05]
 [ 2.91038305e-09  5.82076609e-11]
 [-5.52323243e+06 -6.18128923e+06]]",
towerse.tower.turbine_M,output,N*m,"[[ 4.20167571e+06 -1.79238798e+06]
 [ 1.17359599e+08  8.42847367e+07]
 [-3.46781682e+05  1.47301970e+05]]",
towerse.turbine_mass,output,kg,[550085.40964614],
towerse.turbine_center_of_mass,output,m,[-0.58771071  0.         66.13496524],
towerse.turbine_I_base,output,kg*m**2,"[3.02068637e+09 2.92779109e+09 2.04598361e+07 0.00000000e+00
 5.03710467e+05 0.00000000e+00]",
towerse.constr_d_to_t,output,,[222.25609756 213.71359223],
towerse.constr_taper,output,,[0.8225     0.78419453],
towerse.slope,output,,[0.8225     0.78419453],
towerse.thickness_slope,output,,[0.83739837],
towerse.member.ca_usr_grid_full,output,,[0. 0. 0. 0. 0. 0. 0.],
towerse.member.cd_usr_grid_full,output,,[0. 0. 0. 0. 0. 0. 0.],
towerse.member.nu_full,output,,[0.26103405 0.26103405 0.26103405 0.26103405 0.26103405 0.26103405],
towerse.member.nodes_r,output,m,[3.     2.8225 2.645  2.4675 2.29   2.1125 1.935 ],
towerse.member.center_of_buoyancy,output,m,[0. 0. 0.],
towerse.member.displacement,output,m**3,[0.],
towerse.member.buoyancy_force,output,N,[0.],
towerse.member.idx_cb,output,,[0.],
towerse.member.Awater,output,m**2,[0.],
towerse.member.Iwaterx,output,m**4,[0.],
towerse.member.Iwatery,output,m**4,[0.],
towerse.member.added_mass,output,kg,[0. 0. 0. 0. 0. 0.],
towerse.member.waterline_centroid,output,m,[0. 0.],
towerse.member.z_dim,output,m,[ 0. 15. 30. 45. 60. 75. 90.],
towerse.member.d_eff,output,m,[6.    5.645 5.29  4.935 4.58  4.225 3.87 ],
towerse.tower_section_height,output,m,[45. 45.],
towerse.member.sigma_ult,output,Pa,[1.12e+09 1.12e+09],
towerse.member.wohler_exp,output,,[3. 3.],
towerse.member.wohler_A,output,,[3.55346484e+10 3.55346484e+10],
towerse.member.ballast_density,output,kg/m**3,[],
towerse.member.ballast_unit_cost,output,USD/kg,[],
towerse.z_param,output,m,[ 0. 45. 90.],
towerse.member.sec_loc,output,,[0. 1.],normalized sectional location
towerse.member.str_tw,output,deg,[0. 0.],structural twist of section
towerse.member.tw_iner,output,deg,[0. 0.],inertial twist of section
towerse.member.mass_den,output,kg/m,[3510.69996926 2366.7802451 ],sectional mass per unit length
towerse.member.foreaft_iner,output,kg*m,[13000.89678448  5680.70806693],sectional fore-aft intertia per unit length about the Y_G inertia axis
towerse.member.sideside_iner,output,kg*m,[13000.89678448  5680.70806693],sectional side-side intertia per unit length about the Y_G inertia axis
towerse.member.foreaft_stff,output,N*m**2,[3.11547970e+11 1.36130076e+11],sectional fore-aft bending stiffness per unit length about the Y_E elastic axis
towerse.member.sideside_stff,output,N*m**2,[3.11547970e+11 1.36130076e+11],sectional side-side bending stiffness per unit length about the Y_E elastic axis
towerse.member.tor_stff,output,N*m**2,[2.4705754e+11 1.0795115e+11],sectional torsional stiffness
towerse.member.axial_stff,output,N,[8.41289233e+10 5.67165168e+10],sectional axial stiffness
towerse.member.cg_offst,output,m,[0. 0.],offset from the sectional center of mass
towerse.member.sc_offst,output,m,[0. 0.],offset from the sectional shear center
towerse.member.tc_offst,output,m,[0. 0.],offset from the sectional tension center
towerse.member.axial_load2stress,output,m**2,"[[0.         0.         2.37730369 1.75494644 1.75494644 0.        ]
 [0.         0.         3.52630964 3.23403919 3.23403919 0.        ]]",
towerse.member.shear_load2stress,output,m**2,"[[3.90738716 3.90738716 0.         0.         0.         0.87747322]
 [5.79544339 5.79544339 0.         0.         0.         1.61701959]]",
towerse.member.labor_hours,output,h,[217.20991395],
towerse.tower_cost,output,USD,[781256.20935988],
towerse.member.section_D,output,m,[5.8225 5.4675 5.1125 4.7575 4.4025 4.0475],
towerse.member.section_t,output,m,[0.026322 0.026322 0.026322 0.022042 0.022042 0.022042],
towerse.member.section_sigma_y,output,Pa,[3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08],
towerse.height_constraint,output,m,[0.],
towerse.transition_piece_height,output,m,[0.],
towerse.z_start,output,m,[0.],
configuration.rated_power,output,W,[5000000.],Electrical rated power of the generator.
configuration.lifetime,output,year,[25.],Turbine design lifetime.
configuration.rotor_diameter_user,output,m,[126.],Diameter of the rotor specified by the user. It is defined as two times the blade length plus the hub diameter.
configuration.hub_height_user,output,m,[90.],Height of the hub center over the ground (land-based) or the mean sea level (offshore) specified by the user.
configuration.ws_class,output,n/a,I,"IEC wind turbine class. I - offshore, II coastal, III - land-based, IV - low wind speed site."
configuration.turb_class,output,n/a,B,"IEC wind turbine category. A - high turbulence intensity (land-based), B - mid turbulence, C - low turbulence (offshore)."
configuration.gearbox_type,output,n/a,geared,"Gearbox configuration (geared, direct-drive, etc.)."
configuration.rotor_orientation,output,n/a,upwind,"Rotor orientation, either upwind or downwind."
configuration.upwind,output,n/a,True,Convenient boolean for upwind (True) or downwind (False).
configuration.n_blades,output,n/a,3,Number of blades of the rotor.
costs.offset_tcc_per_kW,output,USD/kW,[0.],Offset to turbine capital cost
costs.bos_per_kW,output,USD/kW,[0.],Balance of station/plant capital cost
costs.opex_per_kW,output,USD/kW/year,[0.],Average annual operational expenditures of the turbine
costs.wake_loss_factor,output,,[0.15],The losses in AEP due to waked conditions
costs.fixed_charge_rate,output,,[0.075],Fixed charge rate for coe calculation
costs.labor_rate,output,USD/h,[58.8],
costs.painting_rate,output,USD/m**2,[30.],
costs.blade_mass_cost_coeff,output,USD/kg,[14.6],
costs.hub_mass_cost_coeff,output,USD/kg,[3.9],
costs.pitch_system_mass_cost_coeff,output,USD/kg,[22.1],
costs.spinner_mass_cost_coeff,output,USD/kg,[11.1],
costs.lss_mass_cost_coeff,output,USD/kg,[11.9],
costs.bearing_mass_cost_coeff,output,USD/kg,[4.5],
costs.gearbox_torque_cost,output,USD/kN/m,[50.],
costs.hss_mass_cost_coeff,output,USD/kg,[6.8],
costs.generator_mass_cost_coeff,output,USD/kg,[12.4],
costs.bedplate_mass_cost_coeff,output,USD/kg,[2.9],
costs.yaw_mass_cost_coeff,output,USD/kg,[8.3],
costs.converter_mass_cost_coeff,output,USD/kg,[18.8],
costs.transformer_mass_cost_coeff,output,USD/kg,[18.8],
costs.hvac_mass_cost_coeff,output,USD/kg,[124.],
costs.cover_mass_cost_coeff,output,USD/kg,[5.7],
costs.elec_connec_machine_rating_cost_coeff,output,USD/kW,[41.85],
costs.platforms_mass_cost_coeff,output,USD/kg,[17.1],
costs.tower_mass_cost_coeff,output,USD/kg,[2.9],
costs.controls_machine_rating_cost_coeff,output,USD/kW,[21.15],
costs.crane_cost,output,USD,[12000.],
costs.electricity_price,output,USD/kW/h,[0.04],
costs.reserve_margin_price,output,USD/kW/year,[120.],
costs.capacity_credit,output,,[1.],
costs.benchmark_price,output,USD/kW/h,[0.071],
costs.turbine_number,output,n/a,50,Number of turbines at plant
env.rho_air,output,kg/m**3,[1.225],Density of air
env.mu_air,output,kg/m/s,[1.81e-05],Dynamic viscosity of air
env.shear_exp,output,,[0.2],Shear exponent of the wind.
env.speed_sound_air,output,m/s,[340.],Speed of sound in air.
env.weibull_k,output,,[2.],Shape parameter of the Weibull probability density function of the wind.
env.rho_water,output,kg/m**3,[1025.],Density of ocean water
env.mu_water,output,kg/m/s,[0.0013351],Dynamic viscosity of ocean water
env.water_depth,output,m,[0.],Water depth for analysis.  Values > 0 mean offshore
env.Hsig_wave,output,m,[0.],Significant wave height
env.Tsig_wave,output,s,[0.],Significant wave period
env.G_soil,output,N/m**2,[1.4e+08],Shear stress of soil
env.nu_soil,output,,[0.4],Poisson ratio of soil
high_level_tower_props.tower_ref_axis,output,m,"[[ 0.  0.  0.]
 [ 0.  0. 45.]
 [ 0.  0. 90.]]","2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
high_level_tower_props.hub_height,output,m,[90.],"Height of the hub in the global reference system, i.e. distance rotor center to ground."
materials.ply_t,output,m,[0.],1D array of the ply thicknesses of the materials. Non-composite materials are kept at 0.
materials.fvf,output,,[0.],1D array of the non-dimensional fiber volume fraction of the composite materials. Non-composite materials are kept at 0.
materials.fwf,output,,[0.],1D array of the non-dimensional fiber weight- fraction of the composite materials. Non-composite materials are kept at 0.
materials.E,output,Pa,[[2.e+11 2.e+11 2.e+11]],"2D array of the Youngs moduli of the materials. Each row represents a material, the three columns represent E11, E22 and E33."
materials.G,output,Pa,[[7.93e+10 7.93e+10 7.93e+10]],"2D array of the shear moduli of the materials. Each row represents a material, the three columns represent G12, G13 and G23."
materials.nu,output,,[[0.265 0.265 0.265]],"2D array of the Poisson ratio of the materials. Each row represents a material, the three columns represent nu12, nu13 and nu23."
materials.Xt,output,Pa,[[1.12e+09 1.12e+09 1.12e+09]],"2D array of the Ultimate Tensile Strength (UTS) of the materials. Each row represents a material, the three columns represent Xt12, Xt13 and Xt23."
materials.Xc,output,Pa,[[2.16e+09 2.16e+09 2.16e+09]],"2D array of the Ultimate Compressive Strength (UCS) of the materials. Each row represents a material, the three columns represent Xc12, Xc13 and Xc23."
materials.S,output,Pa,[[0. 0. 0.]],"2D array of the Ultimate Shear Strength (USS) of the materials. Each row represents a material, the three columns represent S12, S13 and S23."
materials.sigma_y,output,Pa,[3.45e+08],Yield stress of the material (in the principle direction for composites).
materials.wohler_exp,output,,[3.],Exponent of S-N Wohler fatigue curve in the form of S = A*N^-(1/m).
materials.wohler_intercept,output,,[3.55346484e+10],"Stress-intercept (A) of S-N Wohler fatigue curve in the form of S = A*N^-(1/m), taken as ultimate stress unless otherwise specified."
materials.unit_cost,output,USD/kg,[0.7],1D array of the unit costs of the materials.
materials.waste,output,,[0.],1D array of the non-dimensional waste fraction of the materials.
materials.roll_mass,output,kg,[0.],1D array of the roll mass of the composite fabrics. Non-composite materials are kept at 0.
materials.orth,output,n/a,[0.],1D array of flags to set whether a material is isotropic (0) or orthtropic (1). Each entry represents a material.
tower.ref_axis,output,m,"[[ 0.   0.   0. ]
 [ 0.   0.  43.8]
 [ 0.   0.  87.6]]","2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
tower.diameter,output,m,[6.    4.935 3.87 ],1D array of the outer diameter values defined along the tower axis.
tower.cd,output,,[1. 1. 1.],1D array of the drag coefficients defined along the tower height.
tower.layer_thickness,output,m,[[0.027  0.0222 0.019 ]],"2D array of the thickness of the layers of the tower structure. The first dimension represents each layer, the second dimension represents each piecewise-constant entry of the tower sections."
tower.outfitting_factor,output,,[1.07],Multiplier that accounts for secondary structure mass inside of tower
tower.layer_name,output,n/a,['tower_wall'],1D array of the names of the layers modeled in the tower structure.
tower.layer_mat,output,n/a,['steel'],1D array of the names of the materials of each layer modeled in the tower structure.
tower_grid.s,output,,[0.  0.5 1. ],"1D array of the non-dimensional grid defined along the tower axis (0-tower base, 1-tower top)"
tower_grid.height,output,m,[90.],Scalar of the tower height computed along the z axis.
tower_grid.length,output,m,[90.],Scalar of the tower length computed along its curved axis. A standard straight tower will be as high as long.
tower_grid.foundation_height,output,m,[0.],Foundation height in respect to the ground level.
