variables,type,units,values,description
towerse.rho_mat,input,kg/m**3,[7800.],
towerse.unit_cost_mat,input,USD/kg,[0.7],
towerse.outfitting_factor_in,input,,[1.07],
towerse.tower_layer_materials,input,n/a,['steel'],
towerse.member.ballast_materials,input,n/a,[],
towerse.material_names,input,n/a,['steel'],
towerse.labor_cost_rate,input,USD/min,[0.98],
towerse.painting_cost_rate,input,USD/m**2,[30.],
high_level_tower_props.tower_ref_axis_user,input,m,"[[ 0.   0.   0. ]
 [ 0.   0.  43.8]
 [ 0.   0.  87.6]]","2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
high_level_tower_props.distance_tt_hub,input,m,[0.],Vertical distance from tower top to hub center.
high_level_tower_props.hub_height_user,input,m,[90.],Height of the hub specified by the user.
high_level_tower_props.rotor_diameter,input,m,[0.],Diameter of the rotor used in WISDEM. It is defined as two times the blade length plus the hub diameter.
materials.rho_fiber,output,kg/m**3,[0.],1D array of the density of the fibers of the materials.
materials.rho,output,kg/m**3,[7800.],"1D array of the density of the materials. For composites, this is the density of the laminate."
materials.rho_area_dry,output,kg/m**2,[0.],1D array of the dry aerial density of the composite fabrics. Non-composite materials are kept at 0.
materials.ply_t_from_yaml,output,m,[0.],1D array of the ply thicknesses of the materials. Non-composite materials are kept at 0.
materials.fvf_from_yaml,output,,[0.],1D array of the non-dimensional fiber volume fraction of the composite materials. Non-composite materials are kept at 0.
materials.fwf_from_yaml,output,,[0.],1D array of the non-dimensional fiber weight- fraction of the composite materials. Non-composite materials are kept at 0.
materials.name,output,n/a,['steel'],1D array of names of materials.
materials.component_id,output,n/a,[-1.],"1D array of flags to set whether a material is used in a blade: 0 - coating, 1 - sandwich filler , 2 - shell skin, 3 - shear webs, 4 - spar caps, 5 - TE/LE reinf."
tcc.hub_cost,output,USD,[0.],
tcc.pitch_system_cost,output,USD,[0.],
tcc.spinner_cost,output,USD,[0.],
tcc.lss_cost,output,USD,[0.],
tcc.main_bearing_cost,output,USD,[0.],
tcc.gearbox_cost,output,USD,[0.],
tcc.hss_cost,output,USD,[0.],
tcc.brake_cost,output,USD,[0.],
tcc.generator_cost,output,USD,[0.],
tcc.bedplate_cost,output,USD,[0.],
tcc.yaw_system_cost,output,USD,[0.],
tcc.converter_cost,output,USD,[0.],
tcc.hvac_cost,output,USD,[0.],
tcc.cover_cost,output,USD,[0.],
tcc.elec_cost,output,USD,[209250.],
tcc.controls_cost,output,USD,[105750.],
tcc.platforms_cost,output,USD,[0.],
tcc.transformer_cost,output,USD,[0.],
tcc.blade_cost,output,USD,[0.],
tcc.rotor_cost,output,USD,[0.],
tcc.rotor_mass_tcc,output,kg,[0.],
tcc.nacelle_cost,output,USD,[315000.],
tcc.nacelle_mass_tcc,output,kg,[0.],
tcc.tower_cost,output,USD,[781256.20935988],
tcc.tower_mass,intermediate,kg,[264486.60964614],
tcc.turbine_cost,output,USD,[1096256.20935988],
tcc.turbine_cost_kW,output,USD/kW,[219.25124187],
tcc.turbine_mass_tcc,output,kg,[264486.60964614],
tcc.hub_system_cost,output,USD,[0.],
tcc.hub_system_mass_tcc,output,kg,[0.],
tcc.tower_parts_cost,output,USD,[781256.20935988],
tcc.tower_cost_external,intermediate,USD,[781256.20935988],
towerse.env1.distLoads.windLoads_Px,intermediate,N/m,"[  0.         143.91455247 182.00745621 200.40117732 207.58001213
 207.0892654  200.80448402]",
towerse.env1.distLoads.windLoads_Py,intermediate,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.env1.distLoads.windLoads_Pz,intermediate,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.env1.distLoads.windLoads_qdyn,intermediate,N/m**2,"[ 0.         41.20818467 54.37452566 63.94873899 71.74761675 78.44612305
 84.38086698]",
towerse.env1.distLoads.windLoads_z,intermediate,m,[ 0. 15. 30. 45. 60. 75. 90.],
towerse.env1.distLoads.windLoads_beta,intermediate,deg,[0.],
towerse.z_global,output,m,[ 0. 15. 30. 45. 60. 75. 90.],
towerse.wind_reference_height,intermediate,m,[90.],
